Source,Target,Weight
#justdoit,#mybracialet,1
#justdoit,#likeme,1
#justdoit,#lovethis,1
#justdoit,#womanevolve,1
#justdoit,#wildwoman,1
#justdoit,#nomorenikes,1
#justdoit,#aimhigh,1
#justdoit,#babsthefilm,1
#justdoit,#gratitude,3
#justdoit,#ford,1
#justdoit,#notjustintheirpockets,1
#justdoit,#tgif,15
#justdoit,#resist,17
#justdoit,#doyourjob,1
#justdoit,#impeach45,4
#justdoit,#np,18
#justdoit,#blackprivilege,1
#justdoit,#isupportnike,5
#justdoit,#stupidityhasconsequences,1
#justdoit,#nikekaepernick,3
#justdoit,#engl318mu,1
#justdoit,#made,1
#justdoit,#trap,3
#justdoit,#hitthemfolks,1
#justdoit,#sofine,1
#justdoit,#rave,1
#justdoit,#purchasecollege,1
#justdoit,#purchasevolleyball,1
#justdoit,#badass,1
#justdoit,#loveher,1
#justdoit,#plagiarism,1
#justdoit,#blackgirlmagic,7
#justdoit,#rootingforeverybodyblack,1
#justdoit,#thankyouwilliamssisters,1
#justdoit,#becauseofthemwecan,1
#justdoit,#djepisode,1
#justdoit,#dj,2
#justdoit,#djlife,2
#justdoit,#lifeofadj,1
#justdoit,#bethedifference,1
#justdoit,#unity,8
#justdoit,#bethechangeyouwishtoseeintheworld,1
#justdoit,#2point0,3
#justdoit,#foodstagram,1
#justdoit,#flyeaglesfly,14
#justdoit,#portharcourt,2
#justdoit,#leoonwhatsapp,1
#justdoit,#buynike,4
#justdoit,#bluewave,10
#justdoit,#changethemascot,1
#justdoit,#blackpolice,1
#justdoit,#justdoitsafely,11
#justdoit,#groot,4
#justdoit,#sticktostandingupforwhatyoubelieveinevenifitmeanstakingaknee,1
#justdoit,#recorddeal,1
#justdoit,#ig,2
#justdoit,#barzzz,1
#justdoit,#sìsìlàdé,1
#justdoit,#thevalleyway,1
#justdoit,#makeembelieve,1
#justdoit,#luretree,1
#justdoit,#lurefishing,1
#justdoit,#fishinglife,1
#justdoit,#lightitup,1
#justdoit,#sparkingflames,1
#justdoit,#takeastand,3
#justdoit,#kaepernicknike,13
#justdoit,#justdowhat,1
#justdoit,#engagingasia,1
#justdoit,#nikedidit,2
#justdoit,#justburnit,21
#justdoit,#funny,9
#justdoit,#coplogic,1
#justdoit,#obanes,2
#justdoit,#patientsafety,1
#justdoit,#maternalhealth,1
#justdoit,#fritzcast,1
#justdoit,#podcast,10
#justdoit,#kavanaughhearings,4
#justdoit,#netde,1
#justdoit,#delawareprimary,1
#justdoit,#uspolitics,1
#justdoit,#liberty,1
#justdoit,#talkradio,1
#justdoit,#millennial,2
#justdoit,#election2018,1
#justdoit,#tlot,1
#justdoit,#sale,2
#justdoit,#jdi,3
#justdoit,#airforce1,4
#justdoit,#airforce,2
#justdoit,#nikeboycot,1
#justdoit,#stlouis,2
#justdoit,#realestate,4
#justdoit,#accra,2
#justdoit,#ghana,4
#justdoit,#foodisbae,1
#justdoit,#soisbeingbroke,1
#justdoit,#butmangotsidegigs,1
#justdoit,#tasteghanacraabringsinnokofio,1
#justdoit,#iworkhardandprayharder,1
#justdoit,#kaepernickbloke,1
#justdoit,#samehair,1
#justdoit,#chargeon,1
#justdoit,#cashflow,1
#justdoit,#trumpisaliar,1
#justdoit,#trumpisaracist,1
#justdoit,#trumpisamoron,1
#justdoit,#trumprussiaconspiracy,1
#justdoit,#trumpcolluded,1
#justdoit,#trumpforjail,1
#justdoit,#whinylittlebitch,1
#justdoit,#hypocrite,1
#justdoit,#getoutthevote,1
#justdoit,#memphis,1
#justdoit,#noexcuses,12
#justdoit,#skimmlife,1
#justdoit,#tech,1
#justdoit,#justgetoverit,1
#justdoit,#stopstealing,1
#justdoit,#thefakes,1
